" "	"  "	"Girokonto"	"Girokonto plus"	"Girokonto premium"
"Kontoführung"	"pro Monat"	"3,49 Euro"	"8,99 Euro"	"13,99 Euro"
"Überweisung"	"online"	"inkl."	"inkl."	"inkl."
" "	"online Echtzeit-Überweisung"	"0,29 Euro"	"0,15 Euro"	"inkl."
" "	"SB-Terminal"	"0,09 Euro"	"inkl."	"inkl."
" "	"beleghaft, telefonisch"	"1,99 Euro"	"0,99 Euro"	"inkl."
"Lastschrift oder Gutschrift einer Überweisung"	"beleglos"	"0,09 Euro"	"inkl."	"inkl."
"Bargeldauszahlung"	"Schalter"	"1,99 Euro"	"0,99 Euro"	"inkl."
"Bargeldauszahlung mit Debitkarte am Automaten"	"Girocard Maestro im BankCard Service-Netz"	"inkl."	"inkl."	"inkl."
"Bargeldeinzahlung"	"Schalter"	"2x pro Monat inkl. danach je 1,99 Euro"	"2x pro Monat inkl. danach je 0,99 Euro"	"inkl."
" "	"Münzen im Safebag am Schalter"	"1x pro Monat inkl. danach je 4,99 Euro"	"2x pro Monat inkl. danach je 4,99 Euro"	"4x pro Monat inkl. danach je 4,99 Euro"
" "	"Geldautomat (Girocard Maestro im BankCard Service-Netz)"	"inkl."	"inkl."	"inkl."
"Kontoauszüge"	"Digital-PDF (im elektronischen Postfach 10 Jahre sicher und bequem aufrufbar)"	"inkl."	"inkl."	"inkl."
" "	"SB-Terminal"	"1x pro Monat inkl. danach je 0,19 Euro"	"1x pro Monat inkl. danach je 0,09 Euro"	"inkl."
"Ausgabe einer Debitkarte"	"Girocard Maestro (Kontoinhaber/Mitkontoinhaber)"	"inkl."	"inkl."	"inkl."
"Ausgabe einer Kreditkarte"	"Rabatt auf die erste Kreditkarte pro Kontoinhaber"	"kein Rabatt"	"25 % Rabatt"	"100 % Rabatt"
